date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:17	303/303	---M-Z	200	added ('OK')	text/plain	date:Sun,%2015%20Mar%202020%2010:02:47%20GMT	https://www.rebecca-murphy.net/robots.txt		(from )
10:47:18	165569/165569	---M-Z	200	added ('OK')	text/html	etag:W/%22e7789c9dbc51e6a7a9fb20326dff801c--gzip%22	https://www.rebecca-murphy.net/	F:/Downloads/RebeccasWebsite/RebeccasWebsite/www.rebecca-murphy.net/index.html	(from )
10:47:19	9786/9786	---M-Z	200	added ('OK')	text/css	etag:%22d8c6e9cb689d5722a1c3c2031a97ee59%22	http://assets.squarespace.com/universal/styles-compressed/commerce-5613ac0e38e3dfd8012aa6a57ae14c04-min.css	F:/Downloads/RebeccasWebsite/RebeccasWebsite/assets.squarespace.com/universal/styles-compressed/commerce-5613ac0e38e3dfd8012aa6a57ae14c04-min.css	(from https://www.rebecca-murphy.net/)
10:47:20	20740/20740	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2016%20Mar%202020%2023:47:17%20GMT	http://use.typekit.net/ik/V5tCkKB1vi2ocxexR-Ee7TRWCU5w8zJoJ2njIQXvBwJfeC9ffFHN4UJLFRbh52jhWDmKFQItwQwUFDmc5Am8FRgyFewkFDjUjs7QMPG0ScmKZAFRjAuuS1gGpPoDSWmyScmDSeBRZPoRdhXCdeNRjAUGdaFXOY48jcmRjhIldWmkSeyoOco8ifUkZA48jhFydWmkSeyoO1FUiABkZWF3jAF8OcFzdPUaiaS0ScmKZAFRjPuliW43-Yq0dcmXOYiaikokZA48jhFydWmkSeyoO1FUiABkZWF3jAF8OcFzdPJwSY4zpe8ljPu0daZyJ6oDZAu3de8R-WsyOWgkdkG4fHCgIMMjMPMfH6qJtKGbMg62JMJ7fbKzMsMMeMb6MKG4fHXgIMMjgKMfH6qJK3IbMg6YJMJ7fbK3MsMMeMt6MKG4fJ3gIMMjIPMfH6GJantgIMIjgPMfH6GJhdtgIMIjgkMfqMYjalQ-gb.js	F:/Downloads/RebeccasWebsite/RebeccasWebsite/use.typekit.net/ik/V5tCkKB1vi2ocxexR-Ee7TRWCU5w8zJoJ2njIQXvBwJfeC9ffFHN4UJLFRbh52jhWDmKFQItwQwUFDmc5Am8FRgyFewkFDjUjs7QMPG0ScmKZAFRjAuuS1gGpPoDSWmyScmDSeBRZPoRdhXCdeNRjAUGdaFXOY48jcmRjhIldWmk	(from https://www.rebecca-murphy.net/)
10:47:24	131197/131197	---M-Z	200	added ('OK')	text/javascript	etag:%228820464a0265e032f9430ddd0899aeaa%22	http://assets.squarespace.com/universal/scripts-compressed/performance-99cbf2b7ae19fdfe882af-min.en-US.js	F:/Downloads/RebeccasWebsite/RebeccasWebsite/assets.squarespace.com/universal/scripts-compressed/performance-99cbf2b7ae19fdfe882af-min.en-US.js	(from https://www.rebecca-murphy.net/)
10:47:25	730/730	---M--	200	added ('OK')	application/rss+xml	etag:W/%22aae85427f646739f828cc72e8c2a3094%22	https://www.rebecca-murphy.net/work?format=rss	F:/Downloads/RebeccasWebsite/RebeccasWebsite/www.rebecca-murphy.net/worka409	(from https://www.rebecca-murphy.net/)
10:47:25	491310/491310	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202020%2023:47:24%20GMT	http://static1.squarespace.com/static/sitecss/5b51813175f9ee60a4c2761a/11/4fba57fde4b0f79d428daa8b/5b51813175f9ee60a4c2762e/1833-05142015/1532470049547/site.css?&filterFeatures=false	F:/Downloads/RebeccasWebsite/RebeccasWebsite/static1.squarespace.com/static/sitecss/5b51813175f9ee60a4c2761a/11/4fba57fde4b0f79d428daa8b/5b51813175f9ee60a4c2762e/1833-05142015/1532470049547/site8696.css	(from https://www.rebecca-murphy.net/)
10:47:28	43621/43621	---MCZ	200	added ('OK')	text/html	etag:W/%22ce785b208593d6555c438f7fcbb311c3--gzip%22	https://www.rebecca-murphy.net/about	F:/Downloads/RebeccasWebsite/RebeccasWebsite/www.rebecca-murphy.net/about.html	(from https://www.rebecca-murphy.net/)
10:47:34	42203/42203	---M-Z	200	added ('OK')	text/html	etag:W/%22a1beb48321a7259ef3881e1b945532ec--gzip%22	https://www.rebecca-murphy.net/contact	F:/Downloads/RebeccasWebsite/RebeccasWebsite/www.rebecca-murphy.net/contact.html	(from https://www.rebecca-murphy.net/)
10:47:40	38988/38988	---M-Z	200	added ('OK')	text/html	etag:W/%22a8a81c3a6f0c93f72f2d0c7c0f301de9--gzip%22	https://www.rebecca-murphy.net/patternmadeinaus/	F:/Downloads/RebeccasWebsite/RebeccasWebsite/www.rebecca-murphy.net/patternmadeinaus/index.html	(from https://www.rebecca-murphy.net/)
